Ship,Survey,Sample,Sample type,Latitude,Longitude,Water depth,% Mud,% Sand,% Gravel
AAD dive program,DAVIS_09-1,STP 11A,push core,-68.599120,77.921000,0,9.10,84.20,6.70
AAD dive program,DAVIS_09-1,STP 11B,push core,-68.595650,77.933200,0,13.40,79.40,7.20
AAD dive program,DAVIS_09-1,STP 13B,push core,-68.648133,77.858833,0,2.10,90.80,7.00
AAD dive program,DAVIS_09-1,STP0,push core,-68.578312,77.961329,3,10.10,86.10,3.80
AAD dive program,DAVIS_09-1,STP1,push core,-68.578240,77.958820,0,11.50,87.20,1.20
AAD dive program,DAVIS_09-1,STP10A,push core,-68.584390,77.944050,5,32.50,65.90,1.60
AAD dive program,DAVIS_09-1,STP10B,push core,-68.584290,77.948680,7,25.40,73.80,0.80
AAD dive program,DAVIS_09-1,STP10C,push core,-68.586050,77.935420,13,63.60,34.20,2.20
AAD dive program,DAVIS_09-1,STP10D,push core,-68.584990,77.957380,20,8.70,90.10,1.20
AAD dive program,DAVIS_09-1,STP12A,push core,-68.617970,77.891810,3,28.10,71.40,0.50
AAD dive program,DAVIS_09-1,STP12B,push core,-68.618130,77.875950,1,16.70,83.20,0.10
AAD dive program,DAVIS_09-1,STP13A,push core,-68.655070,77.863620,7,34.50,64.80,0.70
AAD dive program,DAVIS_09-1,STP14,push core,-68.543590,78.010360,0,38.20,59.20,2.60
AAD dive program,DAVIS_09-1,STP14A,push core,-68.540130,78.003110,4,70.90,28.60,0.50
AAD dive program,DAVIS_09-1,STP14B,push core,-68.547040,77.984020,1,5.20,90.40,4.40
AAD dive program,DAVIS_09-1,STP15A,push core,-68.523000,78.073350,4,69.30,30.00,0.70
AAD dive program,DAVIS_09-1,STP15B,push core,-68.528730,78.060770,2,28.50,69.30,2.30
AAD dive program,DAVIS_09-1,STP15C,push core,-68.531030,78.039380,2,64.30,32.60,3.10
AAD dive program,DAVIS_09-1,STP16,push core,-68.568010,77.963870,5,5.20,89.60,5.10
AAD dive program,DAVIS_09-1,STP17,push core,-68.589370,77.920600,0,69.30,30.00,0.70
AAD dive program,DAVIS_09-1,STP2,push core,-68.578680,77.953210,2,6.60,93.20,0.20
AAD dive program,DAVIS_09-1,STP3,push core,-68.576320,77.959080,4,18.50,80.00,1.50
AAD dive program,DAVIS_09-1,STP4,push core,-68.576470,77.949310,2,17.80,73.30,8.80
AAD dive program,DAVIS_09-1,STP5,push core,-68.573610,77.952150,1,14.90,81.70,3.40
AAD dive program,DAVIS_09-1,STP6,push core,-68.580620,77.942760,1,3.90,93.70,2.40
AAD dive program,DAVIS_09-1,STP7,push core,-68.576700,77.945030,3,47.20,51.90,0.90
AAD dive program,DAVIS_09-1,STP9,push core,-68.582830,77.919150,2,75.30,24.00,0.70
Aurora Australis,au0207-LOSS,au0207/GR01,grab,-68.495000,70.656667,874,53.30,46.69,0.00
Aurora Australis,au0207-LOSS,au0207/GR02,grab,-68.501667,70.801667,760,65.96,34.04,0.00
Aurora Australis,au0207-LOSS,au0207/GR03,grab,-68.553333,71.386667,508,23.91,76.09,0.00
Aurora Australis,au0207-LOSS,au0207/GR04,grab,-68.576667,71.600000,486,45.85,54.15,0.00
Aurora Australis,au0207-LOSS,au0207/GR05,grab,-68.588333,72.220000,494,53.01,46.98,0.00
Aurora Australis,au0207-LOSS,au0207/GR06,grab,-68.588333,72.450000,498,53.12,46.87,0.00
Aurora Australis,au0207-LOSS,au0207/GR07,grab,-68.700000,72.903333,705,74.91,25.09,0.00
Aurora Australis,au0207-LOSS,au0207/GR08,grab,-68.800000,73.338333,784,89.90,10.10,0.00
Aurora Australis,au0207-LOSS,au0207/GR09,grab,-68.865000,73.468333,771,89.81,10.19,0.00
Aurora Australis,au0207-LOSS,au0207/GR10,grab,-69.041667,73.828333,697,76.34,23.66,0.00
Aurora Australis,au0207-LOSS,au0207/GR11,grab,-69.286667,75.228333,744,78.80,21.20,0.00
Aurora Australis,au0207-LOSS,au0207/GR12,grab,-69.300000,75.355000,608,82.81,17.19,0.00
Aurora Australis,CEAMARC,01BC01Bulk,box core,-65.996566,142.335883,233,43.31,51.79,4.90
Aurora Australis,CEAMARC,01BC03Bulk,box core,-65.992750,142.333466,235,16.18,78.17,5.65
Aurora Australis,CEAMARC,02BC01Bulk,box core,-65.998433,141.288333,232,13.86,75.69,10.45
Aurora Australis,CEAMARC,03GRSM02Bulk,grab,-65.990666,141.951800,245,18.63,57.39,23.98
Aurora Australis,CEAMARC,04BC01B/0-1,box core,-66.347550,141.972250,263,32.13,67.02,0.85
Aurora Australis,CEAMARC,06BC01B,box core,-66.330283,142.627966,380,10.39,87.70,1.91
Aurora Australis,CEAMARC,07BC01B/0-1,box core,-66.560000,142.664100,368,4.51,80.07,15.42
Aurora Australis,CEAMARC,08BC01/0.3-1.3,box core,-66.559050,142.323283,370,79.82,20.18,0.00
Aurora Australis,CEAMARC,10BC01Bulk,box core,-66.340916,141.335566,252,21.76,65.50,12.74
Aurora Australis,CEAMARC,13ABC02Bulk,box core,-66.153500,140.656833,224,15.32,84.42,0.27
Aurora Australis,CEAMARC,14BC01Bulk,box core,-66.328833,140.655083,168,7.28,92.67,0.04
Aurora Australis,CEAMARC,15BBC01Bulk,box core,-66.389266,139.809783,1132,84.29,15.71,0.00
Aurora Australis,CEAMARC,16ABC01Bulk,box core,-66.350500,139.945633,673,48.93,50.48,0.58
Aurora Australis,CEAMARC,17BC02Bulk,box core,-66.174550,140.010616,153,7.77,81.23,11.00
Aurora Australis,CEAMARC,18BC02Bulk,box core,-66.171066,139.724783,408,9.53,90.47,0.00
Aurora Australis,CEAMARC,19BC01Bulk,box core,-66.158216,139.302983,780,48.60,47.19,4.21
Aurora Australis,CEAMARC,20BC02Bulk,box core,-65.996516,139.993800,193,4.29,32.02,63.68
Aurora Australis,CEAMARC,20GRVV03Bulk,grab,-65.993233,139.991133,194,22.63,70.27,7.10
Aurora Australis,CEAMARC,21BC01Bulk,box core,-66.003483,139.665150,216,57.03,42.70,0.27
Aurora Australis,CEAMARC,22BC01Bulk,box core,-66.004133,139.326650,472,34.51,37.29,28.21
Aurora Australis,CEAMARC,27BC02A/Bulk,box core,-66.006250,142.671233,430,21.58,56.65,21.76
Aurora Australis,CEAMARC,28BC02B/0-1,box core,-66.002816,142.973233,463,42.45,52.89,4.67
Aurora Australis,CEAMARC,29BC01B/0-1,box core,-65.999216,143.367016,466,79.07,17.79,3.14
Aurora Australis,CEAMARC,30BC03B/0-1,box core,-65.993500,143.649283,430,56.49,40.90,2.60
Aurora Australis,CEAMARC,31BC01Bulk,box core,-66.564283,144.950333,500,27.28,31.79,40.92
Aurora Australis,CEAMARC,34BC02Bulk,box core,-66.334500,144.318866,461,42.14,51.75,6.11
Aurora Australis,CEAMARC,35BC01Bulk,box core,-66.331183,143.979550,520,50.53,47.07,2.40
Aurora Australis,CEAMARC,35BC02Bulk,box core,-66.330850,143.979800,521,52.18,43.66,4.16
Aurora Australis,CEAMARC,37BC02B/0.3-1.3,box core,-66.560483,143.328433,952,82.03,17.97,0.00
Aurora Australis,CEAMARC,38GRVV02B/0-1,grab,-66.344400,143.312950,708,96.52,3.48,0.00
Aurora Australis,CEAMARC,39BC01B/0-1,box core,-66.553116,142.985000,865,39.69,60.31,0.00
Aurora Australis,CEAMARC,46BC01B/0-1,box core,-66.875783,144.051233,663,18.87,81.13,0.00
Aurora Australis,CEAMARC,49ABC01B/0-1,box core,-67.024516,145.231866,1350,69.50,30.50,0.00
Aurora Australis,CEAMARC,50ABC01B/0-1,box core,-66.754016,145.217333,604,55.22,43.91,0.88
Aurora Australis,CEAMARC,51ABC02B/0-1,box core,-66.754683,145.531316,534,49.79,45.47,4.74
Aurora Australis,CEAMARC,52BC03Bulk,box core,-66.549900,145.296850,449,32.83,34.86,32.31
Aurora Australis,CEAMARC,53BC01Bulk,box core,-66.332916,144.659083,424,70.88,29.12,0.00
Aurora Australis,CEAMARC,54BC02Bulk,box core,-65.908233,143.993566,408,25.31,64.45,10.23
Aurora Australis,CEAMARC,55BC01Bulk,box core,-66.337183,145.000333,395,42.81,52.99,4.20
Aurora Australis,CEAMARC,56BC01Bulk,box core,-66.561383,144.663983,587,36.11,38.50,25.39
Aurora Australis,CEAMARC,57BC01B/0-1,box core,-66.742683,144.995033,723,54.40,45.60,0.00
Aurora Australis,CEAMARC,58BC01B/0-2,box core,-66.755900,144.668483,845,88.34,11.65,0.00
Aurora Australis,CEAMARC,59BC01Bulk,box core,-66.751583,144.345150,915,84.12,15.83,0.06
Aurora Australis,CEAMARC,60BC02Bulk,box core,-66.570450,143.991150,920,41.16,57.66,1.19
Aurora Australis,CEAMARC,61BC03B/0-1,box core,-66.335216,143.012000,673,61.57,38.43,0.00
Aurora Australis,CEAMARC,62BC01B/0-1,box core,-66.160266,143.305850,590,47.97,24.38,27.65
Aurora Australis,CEAMARC,63BC01Bulk,box core,-65.845633,142.984366,429,13.51,55.73,30.76
Aurora Australis,CEAMARC,65BC01B/0-1,box core,-65.809166,142.988183,1025,28.56,42.25,29.19
Aurora Australis,CEAMARC,70BC01Bulk,box core,-66.441116,140.520183,1053,21.93,77.10,0.98
Aurora Australis,CEAMARC,72BC02Bulk,box core,-66.335316,140.481933,397,17.07,78.90,4.03
Aurora Australis,CEAMARC,73BC01Bulk,box core,-65.486833,139.219000,560,24.69,62.05,13.26
Aurora Australis,CEAMARC,79BC02Bulk,box core,-65.698783,140.581583,470,5.48,79.07,15.44
Aurora australis,CEAMARC,80BC02Bulk,box core,-65.682050,140.510683,920,,,
Aurora Australis,CEAMARC,84BC02Bulk,box core,-65.466733,139.347350,920,63.53,36.47,0.00
Aurora Australis,CEAMARC,86EBC01Bulk,box core,-65.475733,139.343933,686,8.46,43.75,47.79
Aurora Australis,CEAMARC,88BC02Bulk,box core,-65.634495,140.387308,1428,2.55,58.03,39.41
Aurora australis,GA149_BANGSS,149/01GB01,grab,-67.478333,64.350000,1100,,,
Aurora australis,GA149_BANGSS,149/01GC01,gravity core,-67.478333,64.350000,1100,92.00,8.00,0.00
Aurora australis,GA149_BANGSS,149/01GC02,gravity core,-67.484000,64.329167,850,93.00,7.00,0.00
Aurora australis,GA149_BANGSS,149/02GC03,gravity core,-67.497833,64.996667,1200,42.00,57.00,1.00
Aurora australis,GA149_BANGSS,149/03GC04,gravity core,-67.396667,65.892833,855,77.00,23.00,0.00
Aurora australis,GA149_BANGSS,149/04GC05,gravity core,-67.403500,65.930333,870,46.00,54.00,0.00
Aurora australis,GA149_BANGSS,149/05GB02,grab,-67.283333,65.023333,805,,,
Aurora australis,GA149_BANGSS,149/05GC06,gravity core,-67.283333,65.023333,805,69.00,31.00,0.00
Aurora australis,GA149_BANGSS,149/06GB03,grab,-66.931167,64.937167,376,,,
Aurora australis,GA149_BANGSS,149/06GC07,gravity core,-66.931167,64.937500,376,7.00,92.00,1.00
Aurora australis,GA149_BANGSS,149/07GB04,grab,-66.845333,64.919167,643,,,
Aurora australis,GA149_BANGSS,149/08GB05,grab,-67.085000,65.226667,130,,,
Aurora australis,GA149_BANGSS,149/08GC08,gravity core,-67.085000,65.226667,130,7.00,71.00,22.00
Aurora australis,GA149_BANGSS,149/09GC09,gravity core,-67.085833,65.321667,388,15.00,63.00,22.00
Aurora australis,GA149_BANGSS,149/10GB06,grab,-67.083500,65.464500,627,,,
Aurora australis,GA149_BANGSS,149/10GC10,gravity core,-67.083500,65.464500,627,84.00,16.00,0.00
Aurora australis,GA149_BANGSS,149/11GC11,gravity core,-67.086167,65.647833,587,81.00,19.00,0.00
Aurora australis,GA149_BANGSS,149/12GB07,grab,-67.111667,65.778667,626,,,
Aurora australis,GA149_BANGSS,149/12GC12,gravity core,-67.111667,65.778667,626,85.00,15.00,0.00
Aurora australis,GA149_BANGSS,149/13GB08,grab,-67.088333,65.982500,413,,,
Aurora australis,GA149_BANGSS,149/13GC13,gravity core,-67.088333,65.982500,413,13.00,85.00,1.00
Aurora australis,GA149_BANGSS,149/14GC14,gravity core,-66.640833,71.733333,849,39.00,51.00,10.00
Aurora australis,GA149_BANGSS,149/15GC15,gravity core,-66.252667,73.340333,2250,97.00,3.00,0.00
Aurora australis,GA149_BANGSS,149/16GB09,grab,-66.381667,73.183333,1960,,,
Aurora australis,GA149_BANGSS,149/16GC16,gravity core,-66.381667,73.183333,1960,98.00,2.00,0.00
Aurora australis,GA149_BANGSS,149/17GC17,gravity core,-66.504000,73.091667,1540,97.00,3.00,0.00
Aurora australis,GA149_BANGSS,149/18GC18,gravity core,-66.599167,73.009000,1170,73.00,27.00,0.00
Aurora australis,GA149_BANGSS,149/19GC19,gravity core,-66.685833,72.924833,765,16.00,24.00,60.00
Aurora australis,GA149_BANGSS,149/20GC20,gravity core,-66.618000,72.304500,697,20.00,65.00,16.00
Aurora australis,GA149_BANGSS,149/21GC21,gravity core,-66.551500,72.293333,1060,55.00,41.00,4.00
Aurora australis,GA149_BANGSS,149/22GC22,gravity core,-66.456167,72.297333,1450,55.00,19.00,25.00
Aurora australis,GA149_BANGSS,149/23GC23,gravity core,-66.320333,72.293500,1884,91.00,9.00,0.00
Aurora australis,GA149_BANGSS,149/24GC24,gravity core,-66.011000,71.534333,2535,,,
Aurora australis,GA149_BANGSS,149/25GC25,gravity core,-66.298833,71.602000,2010,92.00,8.00,0.00
Aurora australis,GA149_BANGSS,149/26GC26,gravity core,-66.448833,71.645833,1623,51.00,46.00,3.00
Aurora australis,GA149_BANGSS,149/27GC27,gravity core,-66.567667,71.714000,1200,43.00,54.00,3.00
Aurora australis,GA149_BANGSS,149/28GC28,gravity core,-66.730167,71.778167,527,14.00,77.00,9.00
Aurora australis,GA149_BANGSS,149/29GC29,gravity core,-66.728167,71.774500,527,35.00,60.00,5.00
Aurora australis,GA149_BANGSS,149/30GC29,gravity core,-66.783833,71.691333,515,,,
Aurora australis,GA149_BANGSS,149/30GC30,gravity core,-66.783833,71.691333,515,53.00,14.00,33.00
Aurora australis,GA149_BANGSS,149/31GC31,gravity core,-66.838333,71.817000,512,36.00,64.00,0.00
Aurora australis,GA149_BANGSS,149/32GC32,gravity core,-66.927167,71.846000,502,54.00,44.00,1.00
Aurora australis,GA149_BANGSS,149/33GC33,gravity core,-66.714500,71.365333,834,47.00,49.00,4.00
Aurora australis,GA149_BANGSS,149/34GC34,gravity core,-66.665167,71.206333,1215,43.00,57.00,1.00
Aurora australis,GA149_BANGSS,149/35GC35,gravity core,-66.583333,71.000000,1566,55.00,45.00,0.00
Aurora australis,GA149_BANGSS,149/36GC36,gravity core,-66.450333,70.575000,2105,91.00,9.00,0.00
Aurora australis,GA149_BANGSS,149/37GC37,gravity core,-67.079667,66.701000,168,11.00,88.00,0.00
Aurora australis,GA149_BANGSS,149/39GC38,gravity core,-67.156000,65.750833,722,75.00,25.00,0.00
Aurora australis,GA149_BANGSS,149/39GC39,gravity core,-67.156000,65.750833,650,,,
Aurora australis,GA149_BANGSS,149/39GC40,gravity core,-67.155333,65.749330,620,63.00,37.00,0.00
Aurora australis,GA149_BANGSS,149/40GC42,gravity core,-67.078000,64.584667,349,12.00,88.00,0.00
Aurora australis,GA149_BANGSS,149/41GC43,gravity core,-66.926000,64.721333,824,22.00,77.00,0.00
Aurora australis,GA149_BANGSS,149/42GC44,gravity core,-66.823667,63.946667,364,10.00,87.00,3.00
Aurora australis,GA149_BANGSS,149/43GC45,gravity core,-67.000000,63.083833,354,67.00,33.00,0.00
Aurora australis,GA149_BANGSS,149/44GC46,gravity core,-66.904167,63.099333,440,40.00,60.00,0.00
Aurora australis,GA149_BANGSS,149/45GC47,gravity core,-66.816333,63.233500,354,35.00,65.00,0.00
Aurora australis,GA186_BRAD,186/01GB01,grab,-65.434500,109.056667,475,42.35,52.88,4.77
Aurora australis,GA186_BRAD,186/01GC01,gravity core,-65.380000,109.070000,475,79.79,19.54,0.67
Aurora australis,GA186_BRAD,186/02GB02,grab,-65.483167,108.933167,512,72.35,27.42,0.23
Aurora australis,GA186_BRAD,186/02GC02,gravity core,-65.478333,108.943333,512,55.64,43.81,0.55
Aurora australis,GA186_BRAD,186/03GB03,grab,-65.543167,108.800867,592,66.56,25.20,8.23
Aurora australis,GA186_BRAD,186/03GC03,gravity core,-65.548333,108.780333,599,82.44,15.83,1.73
Aurora australis,GA186_BRAD,186/04GC04,gravity core,-66.715000,109.146667,2180,98.75,1.25,0.00
Aurora Australis,GA186_BRAD,186/04GC05,gravity core,-66.719500,109.131833,2100,96.28,3.72,0.00
Aurora australis,GA186_BRAD,186/05GB04,grab,-66.507000,109.943167,1200,91.35,8.65,0.00
Aurora australis,GA186_BRAD,186/05GC06,gravity core,-66.505333,109.951000,1200,93.73,6.27,0.00
Aurora Australis,GA186_BRAD,186/05GC07,gravity core,-66.506333,109.950333,1200,91.00,8.92,0.08
Aurora australis,GA186_BRAD,186/06GB05,grab,-66.365500,110.188833,1740,95.02,4.98,0.00
Aurora australis,GA186_BRAD,186/06GC08,gravity core,-66.366333,110.172500,1740,94.62,5.38,0.00
Aurora Australis,GA186_BRAD,186/07GC09,gravity core,-68.066833,72.900167,698,98.80,1.20,0.00
Aurora australis,GA186_BRAD,186/08GC10,gravity core,-68.069500,72.932500,655,59.59,37.98,2.43
Aurora australis,GA186_BRAD,186/08GC11,gravity core,-68.070833,72.929167,655,47.10,45.59,7.30
Aurora australis,GA186_BRAD,186/09GC12,gravity core,-68.075000,72.933667,660,41.18,58.41,0.41
Aurora australis,GA186_BRAD,186/10GC13,gravity core,-68.197833,72.294333,678,92.36,5.94,1.70
Aurora australis,GA186_BRAD,186/11GC14,gravity core,-68.220333,72.383167,690,72.14,12.52,15.34
Aurora Australis,GA186_BRAD,186/12GB06,grab,-68.197000,73.289333,710,98.76,1.24,0.00
Aurora australis,GA186_BRAD,186/13GC15,gravity core,-68.517500,70.407500,1050,18.64,78.52,2.84
Aurora australis,GA186_BRAD,186/14GC16,gravity core,-68.374667,71.307000,726,33.61,33.88,32.51
Aurora australis,GA186_BRAD,186/15GC17,gravity core,-68.315833,71.464667,716,32.86,66.82,0.32
Aurora australis,GA186_BRAD,186/16GC18,gravity core,-68.145167,72.020167,608,50.28,48.24,1.48
Aurora australis,GA186_BRAD,186/17GC19,gravity core,-68.134500,72.167000,775,66.50,33.50,0.00
Aurora australis,GA186_BRAD,186/18GC20 ,gravity core,-68.161667,72.274333,780,94.22,5.78,0.00
Aurora australis,GA186_BRAD,186/19GB07,grab,-67.618333,73.300000,570,92.95,7.05,0.00
Aurora australis,GA186_BRAD,186/19GC21,gravity core,-67.617500,73.300000,570,91.31,8.69,0.00
Aurora australis,GA186_BRAD,186/20GC22,gravity core,-67.691167,72.217333,660,90.66,9.34,0.00
Aurora australis,GA186_BRAD,186/23GB09,grab,-67.528167,64.663333,1240,94.88,5.12,0.00
Aurora australis,GA186_BRAD,186/23GC23,gravity core,-67.533667,64.663000,1240,92.16,7.84,0.00
Aurora australis,GA186_BRAD,186/25GC25,gravity core,-67.357500,65.971667,785,29.94,70.06,0.00
Aurora australis,GA186_BRAD,186/26GC26,gravity core,-67.131167,70.794833,390,27.96,71.39,0.65
Aurora australis,GA186_BRAD,186/27GC27,gravity core,-67.168667,74.503667,436,59.96,40.04,0.00
Aurora australis,GA186_BRAD,186/28GC28,gravity core,-67.267500,76.398667,338,65.53,33.69,0.77
Aurora australis,GA186_BRAD,186/29GC29,gravity core,-66.500333,72.272000,1230,44.35,47.17,8.48
Aurora australis,GA186_BRAD,186/29GC30,gravity core,-66.501667,72.289333,1230,58.32,39.39,2.29
Aurora australis,GA186_BRAD,186/30GC31,gravity core,-66.401833,72.285167,1625,92.43,7.17,0.40
Aurora australis,GA186_BRAD,186/31GC32,gravity core,-66.318500,72.258500,1830,85.06,14.94,0.00
Aurora australis,GA186_BRAD,186/33GC34,gravity core,-66.942500,63.115500,470,92.09,7.91,0.00
Aurora australis,GA186_BRAD,186/34GC35,gravity core,-67.181833,62.962167,600,46.84,52.07,1.10
Aurora australis,GA901_KROCK,901/06GR01,grab,-66.724167,77.519667,803,50.11,41.44,8.46
Aurora australis,GA901_KROCK,901/06GR02A,grab,-68.431167,77.806333,179,48.60,51.40,0.00
Aurora Australis,GA901_KROCK,901/105GR34,grab,-66.559667,62.740000,1882,54.00,34.00,12.00
Aurora Australis,GA901_KROCK,901/106GR35,grab,-66.867167,63.160000,434,9.00,81.00,10.00
Aurora australis,GA901_KROCK,901/11GR03,grab,-68.573333,77.640000,388,100.00,0.00,0.00
Aurora australis,GA901_KROCK,901/11GR03B,grab,-68.573333,77.640000,388,,,
Aurora australis,GA901_KROCK,901/125GC01,gravity core,-66.899167,63.154333,478,82.90,17.10,0.00
Aurora australis,GA901_KROCK,901/128GC02,gravity core,-67.474333,64.972667,1091,92.31,7.69,0.00
Aurora Australis,GA901_KROCK,901/129GC03,gravity core,-67.269667,65.417833,134,74.94,15.64,9.42
